polymer_smiles,solvent_smiles,T_K,volume_fraction,average_IP
*C(C#N)C*,CN(C)C=O,287,0,0.2
*CC(C)(C(=O)OC)*,CC(=O),298,0,0.48
*CC(C)(C(=O)OC)*,CC(=O),300,0,0.48
*CC(C)(C(=O)OC)*,c1ccccc1,289,0,0.47
*CC(C)(C(=O)OC)*,c1ccccc1,300,0,0.44
*CC(C)(C(=O)OC)*,CCCC(=O)CCC,275,0,0.496
*CC(C)(C(=O)OC)*,CCCC(=O)CCC,333,0,0.487
*CC(C)(C(=O)OC)*,CCCC(Cl),287,0,0.515
*CC(C)(C(=O)OC)*,CCCC(Cl),321,0,0.495
*CC(C)(C(=O)OC)*,C(Cl)(Cl)Cl,300,0,0.44
*CC(C)(C(=O)OC)*,C1CCOC1,300,0,0.42
*CC(C)(C(=O)OC)*,CCCC(=O)CCC,289,0,0.515
*CC(C)(C(=O)OC)*,CCCC(=O)CCC,335,0,0.49
*CC(C)(C(=O)OC)*,CC(C)CCOC(=O)C,293,0,0.524
*CC(C)(C(=O)OC)*,CC(C)CCOC(=O)C,333,0,0.499
*CC(C)(C(=O)OC)*,CCC(=O)CC,300,0,0.49
*CC(C)(C(=O)OC)*,C1COCCO1,298,0,0.494
*CC(C)(C(=O)OC)*,C1COCCO1,300,0,0.46
*CC(C)(C(=O)OC)*,C(c1ccccc1),300,0,0.45
*CC(C)(C(=O)OC)*,CC1=CC(=CC=C1)C,300,0,0.5
*C(OC)C*,F(c1ccccc1),313,1,0
*C(OC)C*,C(=C(Cl)Cl)(Cl)Cl,313,1,0.34
*C(OC)C*,CC(C)OC(C)C,313,1,0.76
*C(OC)C*,C1CCCC1,313,1,1.14
*C(OC)C*,C(=C(Cl)Cl)Cl,313,1,-0.26
*C(OC)C*,CCCOC(=O)C,313,1,0.25
*C(OC)C*,CCCO,313,1,0.9
*C(OC)C*,C1COCCO1,313,1,0.2
*C(OC)C*,C(Cl)Cl,313,1,-0.39
*C(OC)C*,C(Cl)(Cl)(Cl)Cl,313,1,0.06
*C(OC)C*,CCCCCCCC,313,1,1.16
*C(OC)C*,C(Cl)(Cl)Cl,313,1,-0.92
*C(OC)C*,CCCCCC,313,1,1.16
*C(OC)C*,CC(=O)C,313,1,0.75
*C(OC)C*,CCCCCCC,313,1,1.15
*C(OC)C*,CCC(=O)C,313,1,0.5
*C(OC)C*,C(c1ccccc1),313,1,0.14
*C(OC)C*,C(c1ccccc1),298,0.06,0.28
*C(OC)C*,C(c1ccccc1),298,0.15,0.26
*C(OC)C*,CC(c1ccccc1),298,0.06,0.29
*C(OC)C*,CC(c1ccccc1),298,0.16,0.27
*C(OC)C*,C1CCCCC1,313,1,1.16
*C(OC)C*,c1ccccc1,313,1,0.15
*CC(C)(C)*,CC(C)(C)C,298,1,0.82
*CC(C)(C)*,CC(C)(C)C,319,1,0.87
*CC(C)(C)*,CC(C)(C)C,308,0.8,0.82
*CC(C)(C)*,CCC(C)(C)C,296.5,0.71,0.49
*CC(C)(C)*,CCC(C)(C)C,296.5,0.85,0.46
*CC(C)(C)*,CCc1ccccc1,373,1,0.59
*CC(C)(C)*,C(C)CC,298,1,0.78
*CC(C)(C)*,C(C)CC,319,1,0.7
*CC(C)(C)*,CCC(C)C,308,1,0.65
*CC(C)(C)*,CCC(C)C,319,1,0.68
*CC(C)(C)*,CCC(C)C,298,0.8,0.65
*CC(C)(C)*,CCC(C)C,308,0.8,0.65
*CC(C)(C)*,CCl,373,1,0.91
*CC(C)(C)*,CCCCCCl,373,1,0.59
*CC(C)(C)*,CC(Cl)Cl,373,1,0.87
*CC(C)(C)*,COC(=O)C,373,1,1.55
*CC(C)(C)*,CC(Cl)(Cl)Cl,373,1,0.56
*CC(C)(C)*,CCCCCCCCCCC,373,1,0.48
*CC(C)(C)*,CCCC,298,1,0.66
*CC(C)(C)*,CCCC,373,1,0.65
*CC(C)(C)*,C1CCCCCC1,373,1,0.29
*CC(C)(C)*,C1CCCCCCC1,373,1,0.24
*CC(C)(C)*,CCCCCO,373,1,2.2
*CC(C)(C)*,CCC,308,1,0.61
*CC(C)(C)*,CCC,373,1,0.79
*CC(C)(C)*,CCCCCl,373,1,0.68
*CC(C)(C)*,C(CCl)Cl,373,1,1.13
*CC(C)(C)*,CCO,373,1,3.3
*CC(C)(C)*,CCCCO,373,1,2.45
*CC(C)(C)*,C1CCCC1,373,1,0.41
*CC(C)(C)*,C1CCCC1,296.5,0.79,0.32
*CC(C)(C)*,C1CCCC1,296.5,0.86,0.27
*CC(C)(C)*,C1CCOC1,373,1,0.68
*CC(C)(C)*,C(=C(Cl)Cl)Cl,373,1,0.54
*CC(C)(C)*,CCCOC(=O)C,373,1,1.19
*CC(C)(C)*,CCCCOC(=O)C,373,1,1.06
*CC(C)(C)*,CCCCCCCCC,298,1,0.49
*CC(C)(C)*,CCCCCCCCC,373,1,0.49
*CC(C)(C)*,CCCCCCCCCC,373,1,0.48
*CC(C)(C)*,Cl(c1ccccc1),373,1,0.7
*CC(C)(C)*,C1COCCO1,373,1,1.26
*CC(C)(C)*,C(Cl)Cl,373,1,1
*CC(C)(C)*,C(Cl)(Cl)(Cl)Cl,373,1,0.48
*CC(C)(C)*,CCCCCCCC,298,0.2,0.44
*CC(C)(C)*,CCCCCCCC,298,0.4,0.48
*CC(C)(C)*,CCCCCCCC,338,1,0.43
*CC(C)(C)*,CCCCCCCC,298,1,0.52
*CC(C)(C)*,CCCCCCCC,373,1,0.5
*CC(C)(C)*,CCOC(=O)C,373,1,1.35
*CC(C)(C)*,C(Cl)(Cl)Cl,373,1,0.78
*CC(C)(C)*,CCCCCC,298,1,0.65
*CC(C)(C)*,CCCCCC,338,1,0.5
*CC(C)(C)*,CCCCCC,373,1,0.56
*CC(C)(C)*,CCCCC,298,0,0.48
*CC(C)(C)*,CCCCC,298,1,0.75
*CC(C)(C)*,CCCCC,313,0,0.49
*CC(C)(C)*,CCCCC,308,0.4,0.62
*CC(C)(C)*,CCCCC,308,1,0.62
*CC(C)(C)*,CCCCC,338,1,0.57
*CC(C)(C)*,CCCCC,328,0.6,0.63
*CC(C)(C)*,CCCCC,328,0.8,0.63
*CC(C)(C)*,CCCCC,373,1,0.6
*CC(C)(C)*,CC(=O)C,373,1,1.9
*CC(C)(C)*,CCCCCCC,298,1,0.57
*CC(C)(C)*,CCCCCCC,338,1,0.47
*CC(C)(C)*,CCCCCCC,373,1,0.53
*CC(C)(C)*,CCC(=O)C,373,1,1.55
*CC(C)(C)*,C(c1ccccc1),373,1,0.6
*CC(C)(C)*,C1CCCCC1,281,0.2,0.437
*CC(C)(C)*,C1CCCCC1,298,1,0.55
*CC(C)(C)*,C1CCCCC1,338,1,0.4
*CC(C)(C)*,C1CCCCC1,303,0,0.44
*CC(C)(C)*,c1ccccc1,283,0.4,0.67
*CC(C)(C)*,c1ccccc1,283,0.8,0.92
*CC(C)(C)*,c1ccccc1,298,0,0.498
*CC(C)(C)*,c1ccccc1,298,1,1.06
*CC(C)(C)*,c1ccccc1,338,1,0.61
*CC(C)(C)*,c1ccccc1,300,0.6,0.73
*CC(C)(C)*,c1ccccc1,300,1,1.07
