Polymer,Solvent,Temperature (°C),Volume fraction,Interaction Parameter
"Cellulose acetate, 2.3 acetate groups per residue",acetone,25 to 45,0,0.44
"Cellulose acetate, 2.3 acetate groups per residue",acetic acid,25 to 45,0,0.4
"Cellulose acetate, 2.3 acetate groups per residue",aniline,25 to 35,0,0.375 to 0.34
"Cellulose acetate, 2.3 acetate groups per residue","1,4-dioxane",25 to 45,0,0.38
"Cellulose acetate, 2.3 acetate groups per residue",methyl acetate,25 to 35,0,0.45
"Cellulose acetate, 2.3 acetate groups per residue",nitromethane,25 to 45,0,0.43
"Cellulose acetate, 2.3 acetate groups per residue",2-picoline,25,0,0.36
"Cellulose acetate, 2.3 acetate groups per residue",3-picoline,25,0,0.285
"Cellulose acetate, 2.3 acetate groups per residue",4-picoline,25,0,0.26
"Cellulose acetate, 2.3 acetate groups per residue",pyridine,25 to 45,0,0.28
"Cellulose acetate, 2.5 acetate groups per residue",acetone,30,0.2 to 0.4,0.30 to 0.51
"Cellulose acetate, 2.5 acetate groups per residue","1,4-dioxane",30,0.2 to 0.4,0.31 to 0.51
"Cellulose acetate, 2.5 acetate groups per residue",methyl acetate,30,0.2 to 0.4,0.43 to 0.59
"Cellulose acetate, 2.5 acetate groups per residue",pyridine,30,0.2 to 0.4,0.07 to 0.09
"Cellulose acetate, 2.5 acetate groups per residue",tetrahydrofuran,13,0,0.442
"Cellulose acetate, 3.0 acetate groups per residue",chloroform,25,0,0.34
"Cellulose acetate, 3.0 acetate groups per residue",chloroform,30,0.2 to 0.6,0.36 to 0.51
"Cellulose acetate, 3.0 acetate groups per residue",dichloromethane,25,0 to 0.6,0.3 to 0.49
"Cellulose nitrate, 2.4 nitrate groups per residue",acetone,25,0,0.27
"Cellulose nitrate, 2.4 nitrate groups per residue",acetone,30,0 to 0.2,0.24 to 0.05
"Cellulose nitrate, 2.4 nitrate groups per residue",amyl acetate,25,0,0.02
"Cellulose nitrate, 2.4 nitrate groups per residue",2-butanone,25,0,0.21
"Cellulose nitrate, 2.4 nitrate groups per residue",butyl acetate,25,0,0.015
"Cellulose nitrate, 2.4 nitrate groups per residue",ethyl acetate,25,0,0.22
"Cellulose nitrate, 2.4 nitrate groups per residue",2-heptanone,25,0,0.02
"Cellulose nitrate, 2.4 nitrate groups per residue",2-hexanone,25,0,0.15
"Cellulose nitrate, 2.4 nitrate groups per residue",methyl acetate,25,0,0.3
"Cellulose nitrate, 2.4 nitrate groups per residue",methyl acetate,30,0 to 0.2,0.17 to -0.06
"Cellulose nitrate, 2.4 nitrate groups per residue",2-octanone,25,0,0.16
"Cellulose nitrate, 2.4 nitrate groups per residue",propyl acetate,25,0,0.13
"Cellulose nitrate, 2.6 nitrate groups per residue",acetone,20,0.2 to 0.8,0.14 to -1.24
"Cellulose nitrate, 2.6 nitrate groups per residue",acetonitrile,20,0.4 to 1,0.59 to -0.1
"Cellulose nitrate, 2.6 nitrate groups per residue",cyclopentanone,20,0.2 to 0.8,0.42 to -2.4
"Cellulose nitrate, 2.6 nitrate groups per residue","2,4-dimethyl-3-pentanone",20,0.2 to 0.6,0.62 to -1.7
"Cellulose nitrate, 2.6 nitrate groups per residue","1,4-dioxane",20,0.4 to 0.8,1.2 to -1.7
"Cellulose nitrate, 2.6 nitrate groups per residue",ethyl acetate,20,0.2 to 0.6,0.04 to -1.35
"Cellulose nitrate, 2.6 nitrate groups per residue",ethyl formate,20,0.2 to 0.8,-0.08 to -3.2
"Cellulose nitrate, 2.6 nitrate groups per residue",ethyl n-propyl ether,20,0.8,1.2
"Cellulose nitrate, 2.6 nitrate groups per residue",isoamyl acetate,20,0.2 to 0.6,-0.89 to -3.3
"Cellulose nitrate, 2.6 nitrate groups per residue",3-methylbutanone,20,0.2 to 0.6,-0.5 to -1.6
"Cellulose nitrate, 2.6 nitrate groups per residue",nitromethane,20,0.2 to 0.8,0.66 to 0.45
"Cellulose nitrate, 2.6 nitrate groups per residue",pinacolone,20,0.2 to 0.8,0.16 to -3.7
"Cellulose nitrate, 2.6 nitrate groups per residue",propyl acetate,20,0.2 to 0.8,-0.38 to -4.1
"Ethyl cellulose, 2.3 ethyl groups per residue",acetone,25,0,0.46
"Ethyl cellulose, 2.3 ethyl groups per residue",benzene,25,0,0.48
"Ethyl cellulose, 2.3 ethyl groups per residue",n-butyl acetate,25,0,0.24
"Ethyl cellulose, 2.3 ethyl groups per residue",carbon tetrachloride,25,0,0.46
"Ethyl cellulose, 2.3 ethyl groups per residue",chloroform,25,0,0.34
"Ethyl cellulose, 2.3 ethyl groups per residue",ethyl acetate,25,0,0.395
"Ethyl cellulose, 2.3 ethyl groups per residue",2-heptanone,25,0,0.38
