replicate,test_rmse,test_mae,test_r2,test_n,test_missing_rows,test_error
replicate_0,0.16672767399807734,0.10673760231404959,0.930882396625794,121,0,keys_aligned
replicate_1,0.1871360042161228,0.11978200077438017,0.9013548802112422,121,0,keys_aligned
replicate_2,0.20872030459291938,0.12582303895041322,0.9015295586175396,121,0,keys_aligned
replicate_3,0.3134141689755103,0.1487719854834711,0.6769735923692854,121,0,keys_aligned
replicate_4,0.19989632663238147,0.12383436595041324,0.8777087283684606,121,0,keys_aligned
replicate_5,0.287634805217129,0.1557547588429752,0.8034242872644287,121,0,keys_aligned
replicate_6,0.1799143471108025,0.1071046985950413,0.9125269123604608,121,0,keys_aligned
replicate_7,0.2381791019185219,0.16460907890082646,0.8776211078749089,121,0,keys_aligned
replicate_8,0.243555517172657,0.12625115695333333,0.8218991418903454,120,0,keys_aligned
replicate_9,0.29787475911766975,0.15300234595833337,0.735325237469968,120,0,keys_aligned
