replicate,test_rmse,test_mae,test_r2,test_n,test_missing_rows,test_error
replicate_0,0.12556842184279962,0.08445944358677687,0.9607956588256727,121,0,keys_aligned
replicate_1,0.13978862444334972,0.08799261183123967,0.9449566873372552,121,0,keys_aligned
replicate_2,0.17140170789540232,0.09383760326446283,0.9335940835071287,121,0,keys_aligned
replicate_3,0.2737958638114441,0.13815019746280996,0.7534786479335899,121,0,keys_aligned
replicate_4,0.17615705534644702,0.10321527366694212,0.9050301136932083,121,0,keys_aligned
replicate_5,0.1873555146506493,0.09757345406280993,0.9165973313396666,121,0,keys_aligned
replicate_6,0.14992520208038573,0.08746724161157025,0.9392575719333764,121,0,keys_aligned
replicate_7,0.21888377583831511,0.13019566501652893,0.8966462225223162,121,0,keys_aligned
replicate_8,0.2289794071362897,0.12639142022083333,0.842578907798666,120,0,keys_aligned
replicate_9,0.13267383736405514,0.0930071465875,0.9474931814244492,120,0,keys_aligned
