replicate,model,test_rmse,test_mae,test_r2,test_n,test_missing_rows,test_error
replicate_0,model_0,0.1327347540924247,0.09138060041322313,0.9561930933734061,121,0,keys_aligned
replicate_1,model_0,0.14050769639120417,0.08767683995867769,0.9443889458328372,121,0,keys_aligned
replicate_2,model_0,0.17778352096919234,0.09660210562892561,0.9285570315777444,121,0,keys_aligned
replicate_3,model_0,0.29964210478031583,0.14834985910743803,0.7047387507074012,121,0,keys_aligned
replicate_4,model_0,0.18227770482696748,0.11306219652066116,0.8983159262282687,121,0,keys_aligned
replicate_5,model_0,0.20203827674239982,0.10048801128099173,0.9030128278310443,121,0,keys_aligned
replicate_6,model_0,0.17361001330971243,0.1006846544876033,0.9185497534910484,121,0,keys_aligned
replicate_7,model_0,0.2194481200147546,0.13173194549586778,0.8961125850329381,121,0,keys_aligned
replicate_8,model_0,0.20857694778654318,0.10890702033333334,0.8693821039783279,120,0,keys_aligned
replicate_9,model_0,0.13119376108117606,0.0894018768125,0.9486581528889793,120,0,keys_aligned
